query_id,date,source,query,url,title,returned_count,decision,exclusion_reason,access_status,study_id,raw_record
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002472420,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로 | KCI,8,duplicate,동일 연구,returned_record,KR-S01,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE08743987,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로 | DBpia,8,duplicate,동일 연구,returned_record,KR-S01,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://www.jccr.re.kr/xml/42629/42629.pdf,"Journal of Climate Change Research 2024, Vol.15 No.5-1 pp.635–652",8,exclude,스키관광 연구의 참고문헌에 DOI; 물활동 결과 아님,returned_record,,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://jccr.re.kr/_PR/view/?aidx=42629&bidx=3865,기후변화가 스키 관광 수요에 미치는 영향: 기상요소의 비선형 효과를 중심으로,8,exclude,스키관광 연구의 참고문헌에 DOI; 물활동 결과 아님,returned_record,,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://jccr.re.kr/xml/42629/42629.pdf,DBPIA-NURIMEDIA (스키관광 PDF),8,exclude,스키관광 연구 중복 URL; 물활동 결과 아님,returned_record,,working/kr_search_records.json
KR-Q02,2026-09-14,web.run search (웹 검색; DB 직접검색 아님),"""10.21298/IJTHR.2019.5.33.5.165"" pdf",https://www.jccr.re.kr/_PR/view/?aidx=42629&bidx=3865,기후변화가 스키 관광 수요에 미치는 영향: 기상요소의 비선형 효과를 중심으로,8,exclude,스키관광 연구 중복 URL; 물활동 결과 아님,returned_record,,working/kr_search_records.json
KR-R01,2026-09-14,web.run open,직접 원출처 상세페이지 열람,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002472420,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로,1,include_abstract_only,KCI 서지·국영문 초록 확인; 전문 미확인,abstract_checked,KR-S01,working/kr_search_records.json
KR-R02,2026-09-14,web.run open,DOI resolver 열람,https://doi.org/10.21298/IJTHR.2019.5.33.5.165,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로,1,access_failed,web 도구 Internal Error; 후속 public HTTP에서 resolver 성공,access_failed,KR-S01,working/kr_search_records.json
KR-R03,2026-09-14,urllib.request public HTTP,DOI resolver 1회 대체 접근,https://doi.org/10.21298/IJTHR.2019.5.33.5.165,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로,1,include_abstract_only,HTTP200 DBpia NODE08743987로 redirect. 전체 논문 아님; 계정·유료 접근 없음,landing_metadata_only,KR-S01,working/kr_search_records.json
KR-R04,2026-09-14,web.run open,DOI가 연결한 저널 원제공 상세페이지 초록 열람,https://www.dbpia.co.kr/journal/articleDetail?nodeId=NODE08743987,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로,1,include_abstract_only,2019.5/33(5)/165–181/저자/DOI/초록 확인. 전문은 구독확인 필요 표기; PDF 열람 못함,abstract_checked_fulltext_unavailable,KR-S01,working/kr_search_records.json
KR-R05,2026-09-14,urllib.request public HTTP,KCI 공개 HTML 원문 링크 확인,https://www.kci.go.kr/kciportal/ci/sereArticleSearch/ciSereArtiView.kci?sereArticleSearchBean.artiId=ART002472420,기상요소변화와 해변 관광객 유입간의 관계 분석 : 강릉지역을 중심으로,1,include_abstract_only,"HTTP200; KCI 미리보기/원문찾기 표시, 공개 전문 URL 확보 못함",landing_metadata_only,KR-S01,working/kr_search_records.json
KR-R06,2026-09-14,web.run open,HC18 원문 PDF 직접 열람,https://www.int-res.com/articles/cr2009/38/c038p061.pdf,"Preferred climates for tourism: case studies from Canada, New Zealand and Sweden",1,access_failed,HTTP401 Unauthorized; PDF 원문 미열람,access_failed,HC-S14,working/hc18_review.json
KR-R07,2026-09-14,urllib.request public HTTP,같은 공개 PDF URL 일반 HTTP 1회 재시도,https://www.int-res.com/articles/cr2009/38/c038p061.pdf,"Preferred climates for tourism: case studies from Canada, New Zealand and Sweden",1,access_failed,HTTP401 Unauthorized; PDF bytes 미확보; 우회/인증 시도 없음,access_failed,HC-S14,working/hc18_review.json
KR-R08,2026-09-14,web.run open,HC18 DOI 연결 서지 확인 시도,https://doi.org/10.3354/cr00774,"Preferred climates for tourism: case studies from Canada, New Zealand and Sweden",1,access_failed,non-retryable URL safety error; 서지충돌 해소 못함,access_failed,HC-S14,working/hc18_review.json
