evidence_id,study_id,sample_family,source_type,title,authors,year,doi,url,design,country_climate,season,population,sample_size,activity,outcome_domain,comparison,input_definition_unit_aggregation,outcome_measure,finding_effect_uncertainty,condition_range,location_in_source,confounders_bias,applicability_limits,korea_directness,access_status,evidence_strength,strength_rationale,code_implication,conversion_note,search_ids
HC11,HC-S07,CIT_INITIAL_331; 다른 선호표본 중복 미확인,index_development,A second generation climate index for tourism (CIT): specification and verification,C. R. de Freitas; Daniel Scott; Geoff McBoyle,2008 (online 2007),10.1007/s00484-007-0134-3,https://link.springer.com/article/10.1007/s00484-007-0134-3,지수 개발 및 조건 조합 설문 검증,초록 미보고; 저자 소속을 모집국가로 간주하지 않음,미보고,3S 관광 조건 설문 응답자; 세부 특성 미확인,331명,relax/beach_tourism,B1,풍우 조건과 쾌적 열조건 조합,열감각9범주·하늘·풍속m/s·장시간 비; 실시간노출 아님,CIT 1–7 진술 만족평가,풍속≥6m/s 또는 비 조건에서CIT1–2; 열적 쾌적의 보상 제한. CI미보고,초기 설문331명,Publisher Abstract,원문/표본구성 미확인; 연구 임계는 안전 기준 아님,무제한 가산 보상의 반례지만 국내 바람 STOP6m/s 근거는 아님,간접; 문화권별 추가검증 필요,abstract_only,매우 낮음,설문 지수; 초록만,물리 제약 분리 구조 검토; 임계값 그대로 이식 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q08;HC-R06
HC12,HC-S08,TCI_453_STATIONS,index_development,The Tourism Climatic Index: A Method of Evaluating World Climates for Tourism,Z. Mieczkowski,1985,10.1111/j.1541-0064.1985.tb00365.x,https://onlinelibrary.wiley.com/doi/10.1111/j.1541-0064.1985.tb00365.x,국제관광 기후 평가방법 개발,전 세계 기상관측소,12개월 기후 지도,관광객 실험이 아닌 기상관측소,453개 기상관측소; 이용자N 해당없음,general_tourism,B1,월별 세계 관광 기후평가,월단위 TCI 기후평가,기후 지도/지수 개발,453관측소의12월별 지도 개발; 초록에 물활동별 사람 검증 없음,세계 기후,Publisher Abstract,원문 미확인; 선호 표본/효과 추정 아님,기후 자원평가 계보와 개인 추천을 구분,지수 계보 확인용; 활동별 점수 근거 아님,abstract_only,매우 낮음,개발 연구의 범위만 확인,TCI 보편 '정답' 프레임 폐기; 후속 HCI와 계보만 연결,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q09;HC-R07
HC13,HC-S09,EU_HCI_DEVELOPMENT; 기존 진술선호 문헌 재사용,index_development,An Inter-Comparison of the Holiday Climate Index (HCI) and the Tourism Climate Index (TCI) in Europe,Daniel Scott; Michelle Rutty; Bas Amelung; Mantao Tang,2016,10.3390/atmos7060080,https://www.mdpi.com/2073-4433/7/6/80,HCI:Urban 명세 및 기후 시나리오/관광 시계열 비교,유럽6도시; 온대/대륙,기후1961–1990 및 미래 시나리오; 파리 호텔2000–2010,도시관광/호텔 숙박기록,6도시 기후; 파리 호텔 시계열; 독립 개인N 없음,urban_tourism,B2,HCI:Urban vs TCI,일최고T/평균RH·구름·강수·바람; 월평균,파리 호텔 숙박 시계열 비교,HCI:Urban은4TC+2A+3P+W; 해변 명세와 가중 다름. 효과크기 추출 안 함,"6도시 기후,파리2000–2010호텔 비교",§3–5;Eq2;Figure2,관광목적/소득/업무출장/추세; 다른 시간대 기후기준과 방문자료,같은0–100이라도 활동간 공통효용·선택척도라는 증거 없음,해외 도시관광; 물활동에는 매우 간접,full_text_checked,낮음,지수 명세 원문 확인; 개별 활동 순위 검증 아님,도시/해변 활동별0–100 점수의 직접 비교 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q14;HC-R09c
HC14,HC-S10,CHINA_CMA_1981_2010; HCI명세는 HC-S01 재사용,index_development,A comparison of the holiday climate index:beach and the tourism climate index across coastal destinations in China,D. D. Yu; M. Rutty; D. Scott; S. Li,2021 (online 2020),10.1007/s00484-020-01979-w,https://pmc.ncbi.nlm.nih.gov/articles/PMC7406217/,14관광지 기후 지수 비교; 방문행동 검증 없음,중국 해안·호수·고산 포함14지역,1981–2010 일기상→봄/여름/가을 월평균,기상관측소/관광지; 이용자 조사 없음,14지역; 이용자N 해당없음,beach_tourism,B2,HCI와TCI의 중국 기후 적합도 비교,일기상5요인→월/계절평균,지수간차이; 행동 결과 미측정,14지역 적용. Discussion에서 중국 도착/점유 자료와 선호의 후속검증 필요 명시,1981–2010;해안/호수/고산혼합,Methods;Table1;Discussion,HCI 선호곡선을 가정한 기후 계산; 방문행동 검증 없음,아시아 '적용'을 한국 '검증'으로 바꿀 수 없음,아시아 적용 사례; 한국/중국 선호 검증과 다름,full_text_checked,낮음,연구범위는 분명하나 전이 타당도 지지 않음,지역 적용 논문만으로 한국활동 점수 정당화 폐기,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q02;HC-Q12;HC-R11c
HC15,HC-S11,JEJU_KCIT_2022_2023; WOLJEONG2015와 기간 다름,conference_abstract,The development of the Koreans’ climatic index for tourism (KCIT),Sookuk Park; Sangman Jo; Yuri Choi; Jeonghyeon Moon,2024,10.5194/egusphere-egu24-5058,https://meetingorganizer.copernicus.org/EGU24/EGU24-5058.html,학회 초록; 미기상+전문가/방문자 설문,한국 제주,2022–2023 사계절,해변 걷기 등 관광객; 입수 연구 아님,해변걷기 전문가15명/관광객511명; 타 활동 별도,relax/beach_walking,A/B1,4관광활동별 기후 선호,"T/RH/바람/장단파 복사 동시측정; PET, cloud%, mm/h",KCIT/열감각·조건 선호,해변걷기511명/전문가15명; 4유형 열조건 'neutral~slightly cool' 제안. 효과CI미보고,2022–2023 사계절,EGU24-5058 Abstract,학회초록; 실제전체질문·추정방법·최종논문 미확인,한국후속자료 후보; 해변걷기≠입수/일광욕,한국 해변걷기 직접 후보; 정식 원논문 미확인,abstract_only,매우 낮음,비교적 직접이지만 동료심사 원논문 확인 못함,후속 원자료/저자연구 추적; 수치채택 보류,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q05;HC-Q11;HC-R10
HC16,HC-S12,REVIEW_OVERLAPPING_PRIMARY; 원연구와 독립 표본으로 세지 않음,review,Nonlinear effects of climate change on outdoor activities and potential feedback pathways: a systematic review,Yuqi Zhu; Junyi Guo; Jinhui Zhang; Wenhao Du; Zhiwen Guan; Hai Li,2026,10.3389/fpubh.2026.1836657,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2026.1836657/full,체계적 리뷰; 메타분석 수치의 출처로 사용 안 함,여러 국가·야외활동,포함문헌2003–2024; 자체 검색종료2024-12-27,서로 다른 야외활동 연구,47연구(리뷰 자체 보고); 독립 참여자수 아님,all_outdoor,A/B/C,서로 다른 결과체계의 문헌종합,다양한 노출/집계; 공통수치 없음,가능일수·참여·수요·안전의 차이,리뷰§4.3은 각 endpoint를 서로 대체할 수 없다고 구분. 새 수치효과 추출 없음,"47논문,이질적 활동",§2–4.5,검색식과 영어제한으로 누락; 포함연구를 독립반복으로 계산 금지,방법적 분류 참고,방법론 간접,full_text_checked,낮음,방법론 참고; 개별 규칙의 원근거로 안 씀,A/B1/B2/C 구조화; 메타분석 불충족 기록,원문/초록 보고값 그대로; 효과 재계산·단위변환 없음; 시간·온도 척도 전환 금지,HC-Q12;HC-R11b
HC17,HC-S13,CARIBBEAN_RESORT_MICROCLIMATE; Rutty2012조사와 시공간 중복 미확인,empirical_peer_reviewed,Thermal range of coastal tourism resort microclimates,Michelle Rutty; Daniel Scott,2014,10.1080/14616688.2014.932833,https://doi.org/10.1080/14616688.2014.932833,리조트 내 미기상 현장측정,Barbados/Tobago; 열대,초록 미보고,2리조트 공간; 활동별 사람실험 아님,2리조트; 시간관측N 미보고,relax/beach_land,A_proxy_microclimate (사람쾌적반응 직접측정아님),같은 리조트의 beach/garden/pool/cabana,기온/흑구온도/RH/풍속→UTCI°C; 시간별 공간비교,미기후 열조건의 공간범위(직접 선호조사 아님),시간별 장소 간 UTCI 차이 최대4°C; 표준오차/CI미보고,2개 열대 리조트,Abstract,장소선택·계절·그늘·바람 노출; 미기후 변화와 실제 이동행동 구별,가까운 기상관측소 하나로 해변 전체 열환경을 대표한다는 가정 점검,해외 간접; 국내 장소내 측정 필요,abstract_only,매우 낮음,초록만; 기상측정은 있으나 행동/한국 직접성 없음,그늘/육상 노출 구획의 대표성 확인; 격자자료를 실측쾌적성으로 표현하지 않기,원문값 그대로; UTCI°C→기온°C로 변환하지 않음,HC-Q04;HC-R12a
HC18,HC-S14,THREE_COUNTRY_STUDENTS_831; HCI 설계문헌 재사용,empirical_peer_reviewed,"Preferred climates for tourism: case studies from Canada, New Zealand and Sweden",Daniel Scott; Stefan Gössling; C. R. de Freitas,2008,10.3354/cr00774,https://doi.org/10.3354/cr00774,대학생 진술 선호 설문,캐나다/뉴질랜드/스웨덴,초록미보고,젊은 성인 대학생,831명,beach_coastal/urban/mountain,B1,관광환경3유형·국가3곳,기온/일조/풍속 이상조건; 기온/강수/일조/바람 중요도; 설문 가상조건,선호환경·상대중요도,활동환경별 최적조건과 요인중요도 차이; 국가간 공통점과 차이 보고. 구체수치/CI 초록미보고,대학생설문; 실제 활동선택 아님,Abstract only; publisher PDF https://www.int-res.com/articles/cr2009/38/c038p061.pdf returned401 in web and direct public HTTP; no full-text section/table verified,학생표본·국가문화·여행경험·가상선호; 계절정보 미확인,환경별차이는 공통효용척도를 검증하지 않음; 아동/고령자 적용 불가; Crossref권수45와 저자소속기관Lund권수38충돌은 실제열람한 기관서지38을 채택. 원문PDF는401접근불가.,해외젊은성인; 국내연령전체 전이 매우간접,abstract_only; publisher PDF access failed (HTTP401),매우 낮음,설문범위만 확인; 원문세부 미확인,활동별 목표차이 반영; 표준화되지 않은 활동점수끼리 순위보류,정성결과만; 수치미추정,HC-R12b;KR-R06;KR-R07;KR-R08;HC-Q15;HC-R13
SW01,SW-S01,PORTSMOUTH_GUERITEE_PROGRAM_overlap_between_papers_unknown,empirical_peer_reviewed,Thermal comfort following immersion,Guéritée J; Redortier B; House JR; Tipton MJ,2015,10.1016/j.physbeh.2014.12.016,https://pure.port.ac.uk/ws/portalfiles/portal/2221257/Thermal_comfort_following_immersion.pdf,반복측정·Latin-square 조건배정,영국 실험실,NR,젊은 남성; 평균19.3세,9명; 72회 반복시험(독립72명 아님),swim/입수후 휴식,A,같은 수온의 평영 대 휴식,수온28°C; 10분 중 수영1분/휴식1분 교대; 쾌적감30초 간격,개인내 최대치로 정규화한 주관적 쾌적감,8조건 중7조건에서 수영 시 더 쾌적; 차이13.2(SD3.1)% 보고,수영복/두 의류조건; 수류1.6km/h,2.1–2.9;3.4;Figure4;원고pp6–14,자기보고·비맹검·수영/휴식 고정교대,쾌적감은 활동선택/안전성과 다름; 장시간·여성·아동 외삽 불가,해외 간접,full_text_checked,낮음,직접 실험이나 작은 남성 표본·짧은 노출,수영과 해변휴식을 분리; 개인정규화13.2%를 서비스점수 증가량으로 쓰지 않음,원문 보고; 재계산 없음,sw-q01;sw-o01
SW02,SW-S01,PORTSMOUTH_GUERITEE_PROGRAM_overlap_between_papers_unknown,empirical_peer_reviewed,Thermal comfort following immersion,Guéritée J; Redortier B; House JR; Tipton MJ,2015,10.1016/j.physbeh.2014.12.016,https://pure.port.ac.uk/ws/portalfiles/portal/2221257/Thermal_comfort_following_immersion.pdf,반복측정·Latin-square 조건배정,영국 실험실,NR,젊은 남성; 평균19.3세,9명; 72회 반복시험(독립72명 아님),swim/입수후 휴식,A,퇴수후 불쾌감 최대시점 대비 회복,기온24°C; RH60–70%; 바람1/2/4m/s; 퇴수후25분,쾌적감·피부온도 동시 반복측정,불쾌감 발생65시험 중45시험은 피부온도가 하강하면서도 쾌적감이 개선됨; CI NR,직전입수28°C·10분; 의류조건별 반복,2.4–2.7;3.5.2–3.5.4;4절;원고pp8–18,동일9명의 반복횟수; 순응·이전감각의 영향,피부온도/쾌적감으로 저체온 안전을 판정할 수 없음,해외 간접,full_text_checked,낮음,직접 실험이나 작은 남성 표본·짧은 노출,퇴수 전후 상태·젖음·장비·바람을 구별; 기온 단일 곡선 보류,원문 보고; 재계산 없음,sw-q01;sw-o01
SW03,SW-S02,PORTSMOUTH_GUERITEE_PROGRAM_overlap_between_papers_unknown,empirical_peer_reviewed,The determinants of thermal comfort in cool water,Guéritée J; House JR; Redortier B; Tipton MJ,2015,10.1111/sms.12360,https://pure.port.ac.uk/ws/portalfiles/portal/1938122/The_determinants_of_thermal_comfort_in_cool_water.pdf,반복측정 냉각입수실험; phase1 추출,영국 실험실,NR,비냉수순응 건강남성; 평균23.8세,phase1 8명; phase2 별도기술8명과 중복불명,swim/정적입수,A,수영복 대 전신웻슈트+장갑+부츠,34.5°C 10분후 20분간19.5°C까지 냉각; 0.75°C/min,처음 불쾌해진 시점·수온; 0–10 범주쾌적감,불쾌감 시작 수온 평균(SD)30.0(2.0) 대24.2(3.8)°C; 처음 불쾌할 때 심부온도 평균하강<0.05°C,두께2.5mm 보호복; 최대75분; 중도중단 존재,Methods phase1;Results phase1;Table1;원고pp5–13,시간과 수온이 동시변화; 자가보고; 작은 표본,수온값은 냉각경로상 반응이며 최적수온/안전경계 아님,해외 간접,full_text_checked,낮음,장비효과의 직접 실험; 자연수역 외적타당성 제한,웻슈트·노출시간 없는 보편적 수온곡선 보류; 육상쾌적성 직접전이 불가,원문 수치; Table1과 본문 시간SD 불일치 있어 시간SD 미추출,sw-q01;sw-q10;sw-o07;sw-o21
